$0;1496076212983357044;1.10;KIEKER-SINGLETON;a6b9179e06cd;1;false;0;NANOSECONDS;1
$1;1496076219157383066;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();C3642DBDA7AA87B97041C6713B2D6E0D;6081829821787144286;1496076219140478741;1496076219157373407;a6b9179e06cd;3;3
$1;1496076219157445433;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();C3642DBDA7AA87B97041C6713B2D6E0D;6081829821787144286;1496076219140441002;1496076219157439713;a6b9179e06cd;2;2
$1;1496076219160156575;HTTP_VetsService.GET;C3642DBDA7AA87B97041C6713B2D6E0D;6081829821787144286;1496076219139672456;1496076219160119908;a6b9179e06cd;1;1
$1;1496076219429801745;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();1BEFE4B13A805B87760A63F45DDC1594;6081829821787144293;1496076219417424844;1496076219429786274;a6b9179e06cd;4;4
$1;1496076219432143174;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();1BEFE4B13A805B87760A63F45DDC1594;6081829821787144293;1496076219415272103;1496076219432133388;a6b9179e06cd;3;3
$1;1496076219432194394;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();1BEFE4B13A805B87760A63F45DDC1594;6081829821787144293;1496076219415225808;1496076219432188459;a6b9179e06cd;2;2
$1;1496076219435325145;HTTP_VetsService.GET;1BEFE4B13A805B87760A63F45DDC1594;6081829821787144293;1496076219414250747;1496076219435285664;a6b9179e06cd;1;1
$1;1496076219711348067;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();57F2147B669086DDD6589216C9100C53;6081829821787144300;1496076219698159232;1496076219711327468;a6b9179e06cd;4;4
$1;1496076219715041730;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();57F2147B669086DDD6589216C9100C53;6081829821787144300;1496076219695360012;1496076219715026708;a6b9179e06cd;3;3
$1;1496076219715103495;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();57F2147B669086DDD6589216C9100C53;6081829821787144300;1496076219695320731;1496076219715095752;a6b9179e06cd;2;2
$1;1496076219719485193;HTTP_VetsService.GET;57F2147B669086DDD6589216C9100C53;6081829821787144300;1496076219694056028;1496076219719445587;a6b9179e06cd;1;1
$1;1496076220004230793;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();7FF90A1B9EBFFE43B2C7E4997EF10C34;6081829821787144307;1496076219992620265;1496076220004216052;a6b9179e06cd;4;4
$1;1496076220006612429;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();7FF90A1B9EBFFE43B2C7E4997EF10C34;6081829821787144307;1496076219990453707;1496076220006603420;a6b9179e06cd;3;3
$1;1496076220006665995;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();7FF90A1B9EBFFE43B2C7E4997EF10C34;6081829821787144307;1496076219990422947;1496076220006660065;a6b9179e06cd;2;2
$1;1496076220008996798;HTTP_VetsService.GET;7FF90A1B9EBFFE43B2C7E4997EF10C34;6081829821787144307;1496076219989738503;1496076220008965575;a6b9179e06cd;1;1
$1;1496076220289078853;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();E2E26FA0443964416096993C3DE00787;6081829821787144314;1496076220275051747;1496076220289058773;a6b9179e06cd;4;4
$1;1496076220292181287;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();E2E26FA0443964416096993C3DE00787;6081829821787144314;1496076220273041886;1496076220292171662;a6b9179e06cd;3;3
$1;1496076220292241648;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();E2E26FA0443964416096993C3DE00787;6081829821787144314;1496076220272990346;1496076220292235225;a6b9179e06cd;2;2
$1;1496076220294738340;HTTP_VetsService.GET;E2E26FA0443964416096993C3DE00787;6081829821787144314;1496076220272290496;1496076220294703309;a6b9179e06cd;1;1
$1;1496076220566959838;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();D3856DE244BFBFBBDEC9652809BFA87F;6081829821787144321;1496076220555064633;1496076220566944473;a6b9179e06cd;4;4
$1;1496076220569148126;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();D3856DE244BFBFBBDEC9652809BFA87F;6081829821787144321;1496076220553024195;1496076220569138975;a6b9179e06cd;3;3
$1;1496076220569203684;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();D3856DE244BFBFBBDEC9652809BFA87F;6081829821787144321;1496076220552993676;1496076220569195354;a6b9179e06cd;2;2
$1;1496076220572351014;HTTP_VetsService.GET;D3856DE244BFBFBBDEC9652809BFA87F;6081829821787144321;1496076220552310710;1496076220572306338;a6b9179e06cd;1;1
$1;1496076220832123706;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();574C59CF4C790635254447EF050FFB87;6081829821787144328;1496076220820308749;1496076220832103405;a6b9179e06cd;4;4
