$0;1494946399607628626;1.10;KIEKER-SINGLETON;6eea74558600;1;false;0;NANOSECONDS;1
$1;1494946522245991294;HTTP_VetsService.GET;389A48D506A0BDB074C21BEC4D754561;4164281542945800366;1494946522189056739;1494946522245973377;6eea74558600;1;1
$1;1494946522714500288;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();E49054E3A5337B219B362A2E867FAA80;4164281542945800374;1494946522680631147;1494946522714493871;6eea74558600;4;4
$1;1494946522715686949;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();E49054E3A5337B219B362A2E867FAA80;4164281542945800374;1494946522666696038;1494946522715681744;6eea74558600;3;3
$1;1494946522715808419;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();E49054E3A5337B219B362A2E867FAA80;4164281542945800374;1494946522666675311;1494946522715805742;6eea74558600;2;2
$1;1494946522719166857;HTTP_VetsService.GET;E49054E3A5337B219B362A2E867FAA80;4164281542945800374;1494946522666088161;1494946522719143754;6eea74558600;1;1
$1;1494946523089425061;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();0394DF3E84350AAE3B7B6B10D9EEC9E7;4164281542945800382;1494946523066988194;1494946523089418040;6eea74558600;4;4
$1;1494946523093478569;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();0394DF3E84350AAE3B7B6B10D9EEC9E7;4164281542945800382;1494946523065690761;1494946523093471542;6eea74558600;3;3
$1;1494946523093614843;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();0394DF3E84350AAE3B7B6B10D9EEC9E7;4164281542945800382;1494946523065659227;1494946523093610750;6eea74558600;2;2
$1;1494946523100526486;HTTP_VetsService.GET;0394DF3E84350AAE3B7B6B10D9EEC9E7;4164281542945800382;1494946523063367075;1494946523100491747;6eea74558600;1;1
$1;1494946523504807241;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();4E93A7CA34D6D83D94318491EE54D622;4164281542945800390;1494946523489735804;1494946523504800623;6eea74558600;4;4
$1;1494946523507275266;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();4E93A7CA34D6D83D94318491EE54D622;4164281542945800390;1494946523484228645;1494946523507268491;6eea74558600;3;3
$1;1494946523507485324;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();4E93A7CA34D6D83D94318491EE54D622;4164281542945800390;1494946523484217195;1494946523507480820;6eea74558600;2;2
$1;1494946523512602538;HTTP_VetsService.GET;4E93A7CA34D6D83D94318491EE54D622;4164281542945800390;1494946523483872438;1494946523512585382;6eea74558600;1;1
$1;1494946523898668893;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();AC1076C661FE62BF2A51A95F131E9D82;4164281542945800398;1494946523880074113;1494946523898663003;6eea74558600;4;4
$1;1494946523901520311;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();AC1076C661FE62BF2A51A95F131E9D82;4164281542945800398;1494946523876549332;1494946523901514151;6eea74558600;3;3
$1;1494946523901661709;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();AC1076C661FE62BF2A51A95F131E9D82;4164281542945800398;1494946523876539625;1494946523901658040;6eea74558600;2;2
$1;1494946523906963424;HTTP_VetsService.GET;AC1076C661FE62BF2A51A95F131E9D82;4164281542945800398;1494946523876223035;1494946523906945496;6eea74558600;1;1
$1;1494946524213634666;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();1A49DDBF84DC61811D8525B45CB22F58;4164281542945800406;1494946524198636633;1494946524213628525;6eea74558600;4;4
$1;1494946524216231109;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();1A49DDBF84DC61811D8525B45CB22F58;4164281542945800406;1494946524192693086;1494946524216225204;6eea74558600;3;3
$1;1494946524216377936;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();1A49DDBF84DC61811D8525B45CB22F58;4164281542945800406;1494946524192674459;1494946524216374491;6eea74558600;2;2
$1;1494946524225315510;HTTP_VetsService.GET;1A49DDBF84DC61811D8525B45CB22F58;4164281542945800406;1494946524192129505;1494946524225300062;6eea74558600;1;1
$1;1494946524603715143;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();BE1FE0077A9C97E4FABB439A231FAFE1;4164281542945800414;1494946524592013968;1494946524603708857;6eea74558600;4;4
$1;1494946524607461633;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();BE1FE0077A9C97E4FABB439A231FAFE1;4164281542945800414;1494946524590823318;1494946524607454326;6eea74558600;3;3
